Strength 6, Cards:  11 11 11 11 11, Bid:  435, Rank:  1000, Winnings:  435000
Strength 5, Cards:  14 14 14  7 14, Bid:  747, Rank:   999, Winnings:  746253
Strength 5, Cards:  14 14  8 14 14, Bid:  794, Rank:   998, Winnings:  792412
Strength 5, Cards:  14 14  4 14 14, Bid:  362, Rank:   997, Winnings:  360914
Strength 5, Cards:  14 14  3 14 14, Bid:  696, Rank:   996, Winnings:  693216
Strength 5, Cards:  14 11 14 14 14, Bid:  855, Rank:   995, Winnings:  850725
Strength 5, Cards:  14  3  3  3  3, Bid:  442, Rank:   994, Winnings:  439348
Strength 5, Cards:  13 14 14 14 14, Bid:  525, Rank:   993, Winnings:  521325
Strength 5, Cards:  13 13 14 13 13, Bid:  376, Rank:   992, Winnings:  372992
Strength 5, Cards:  13 13 13 13  8, Bid:  303, Rank:   991, Winnings:  300273
Strength 5, Cards:  13 13 12 13 13, Bid:  934, Rank:   990, Winnings:  924660
Strength 5, Cards:  13 13 10 13 13, Bid:  576, Rank:   989, Winnings:  569664
Strength 5, Cards:  13 13  9 13 13, Bid:  457, Rank:   988, Winnings:  451516
Strength 5, Cards:  13 11 13 13 13, Bid:  909, Rank:   987, Winnings:  897183
Strength 5, Cards:  13  9  9  9  9, Bid:  661, Rank:   986, Winnings:  651746
Strength 5, Cards:  13  8  8  8  8, Bid:   27, Rank:   985, Winnings:   26595
Strength 5, Cards:  13  7 13 13 13, Bid:  600, Rank:   984, Winnings:  590400
Strength 5, Cards:  13  6 13 13 13, Bid:  818, Rank:   983, Winnings:  804094
Strength 5, Cards:  12 12 12 13 12, Bid:  386, Rank:   982, Winnings:  379052
Strength 5, Cards:  12 12 12 12  5, Bid:   57, Rank:   981, Winnings:   55917
Strength 5, Cards:  12 12 11 12 12, Bid:  730, Rank:   980, Winnings:  715400
Strength 5, Cards:  12  9 12 12 12, Bid:  374, Rank:   979, Winnings:  366146
Strength 5, Cards:  12  6 12 12 12, Bid:  824, Rank:   978, Winnings:  805872
Strength 5, Cards:  12  6  6  6  6, Bid:  136, Rank:   977, Winnings:  132872
Strength 5, Cards:  12  4 12 12 12, Bid:  382, Rank:   976, Winnings:  372832
Strength 5, Cards:  11 11 11 11  8, Bid:  154, Rank:   975, Winnings:  150150
Strength 5, Cards:  11  9  9  9  9, Bid:  233, Rank:   974, Winnings:  226942
Strength 5, Cards:  11  7  7  7  7, Bid:  865, Rank:   973, Winnings:  841645
Strength 5, Cards:  10 13 10 10 10, Bid:  688, Rank:   972, Winnings:  668736
Strength 5, Cards:  10 12 12 12 12, Bid:  951, Rank:   971, Winnings:  923421
Strength 5, Cards:  10 10 14 10 10, Bid:  317, Rank:   970, Winnings:  307490
Strength 5, Cards:  10 10 10 10 11, Bid:   52, Rank:   969, Winnings:   50388
Strength 5, Cards:  10 10 10 10  3, Bid:  312, Rank:   968, Winnings:  302016
Strength 5, Cards:  10 10  8 10 10, Bid:  766, Rank:   967, Winnings:  740722
Strength 5, Cards:  10 10  4 10 10, Bid:   35, Rank:   966, Winnings:   33810
Strength 5, Cards:  10  2  2  2  2, Bid:  366, Rank:   965, Winnings:  353190
Strength 5, Cards:   9  9  9 12  9, Bid:  604, Rank:   964, Winnings:  582256
Strength 5, Cards:   9  9  9  9 10, Bid:  519, Rank:   963, Winnings:  499797
Strength 5, Cards:   9  9  6  9  9, Bid:  459, Rank:   962, Winnings:  441558
Strength 5, Cards:   9  9  2  9  9, Bid:  862, Rank:   961, Winnings:  828382
Strength 5, Cards:   9  8  9  9  9, Bid:  915, Rank:   960, Winnings:  878400
Strength 5, Cards:   9  5  9  9  9, Bid:  390, Rank:   959, Winnings:  374010
Strength 5, Cards:   8 14  8  8  8, Bid:  832, Rank:   958, Winnings:  797056
Strength 5, Cards:   8 12  8  8  8, Bid:  893, Rank:   957, Winnings:  854601
Strength 5, Cards:   8  8  8 11  8, Bid:  629, Rank:   956, Winnings:  601324
Strength 5, Cards:   8  8  8  8 10, Bid:  615, Rank:   955, Winnings:  587325
Strength 5, Cards:   8  8  8  8  7, Bid:  327, Rank:   954, Winnings:  311958
Strength 5, Cards:   8  8  4  8  8, Bid:  777, Rank:   953, Winnings:  740481
Strength 5, Cards:   8  2  2  2  2, Bid:   61, Rank:   952, Winnings:   58072
Strength 5, Cards:   7  7 13  7  7, Bid:  822, Rank:   951, Winnings:  781722
Strength 5, Cards:   7  7  9  7  7, Bid:  395, Rank:   950, Winnings:  375250
Strength 5, Cards:   7  7  7 10  7, Bid:  445, Rank:   949, Winnings:  422305
